video_id,rank,component,bot_id,phase,level,time,channel_id,parent_video_id
pCD-X1fdx1Y,8,videopage,sean.carter.99.test,create,1,2022-03-16 15:59:18.349799,UCry2gCVdntv6r661sKUiKXw,NRkbJsea2xw
W-h9kXXOMzQ,9,videopage,sean.carter.99.test,create,1,2022-03-16 15:59:18.349801,UCP7JPwhCx2UBbnRk_TjLrHg,NRkbJsea2xw
MiSbBdLeA-Q,0,homepage,sean.carter.99.test,create,2,2022-03-16 16:00:45.611944,,
7eOnu19E3vU,1,homepage,sean.carter.99.test,create,2,2022-03-16 16:00:45.622339,,
aOcAqCvH66Q,2,homepage,sean.carter.99.test,create,2,2022-03-16 16:00:45.631240,,
2oLl8NLtels,3,homepage,sean.carter.99.test,create,2,2022-03-16 16:00:45.639561,,
9voZnLhXFL4,4,homepage,sean.carter.99.test,create,2,2022-03-16 16:00:45.647736,,
FfqLxxXLM-4,5,homepage,sean.carter.99.test,create,2,2022-03-16 16:00:45.655793,,
DSGyEsJ17cI,6,homepage,sean.carter.99.test,create,2,2022-03-16 16:00:45.663545,,
ULdkpU51hTQ,7,homepage,sean.carter.99.test,create,2,2022-03-16 16:00:45.670989,,
R7lR1MINzIs,8,homepage,sean.carter.99.test,create,2,2022-03-16 16:00:45.678846,,
79U5HV7Pesg,9,homepage,sean.carter.99.test,create,2,2022-03-16 16:00:45.686723,,
W_E9iazLKcU,0,videopage,sean.carter.99.test,create,2,2022-03-16 16:01:02.000722,UCzF4Ryn8TKn64md77gS5Q5Q,rJboGx6pZXA
sO8Qy9PVzho,1,videopage,sean.carter.99.test,create,2,2022-03-16 16:01:02.000733,UCzF4Ryn8TKn64md77gS5Q5Q,rJboGx6pZXA
FeGr87SfEE0,2,videopage,sean.carter.99.test,create,2,2022-03-16 16:01:02.000735,UCzF4Ryn8TKn64md77gS5Q5Q,rJboGx6pZXA
uQJWo3QMJBU,3,videopage,sean.carter.99.test,create,2,2022-03-16 16:01:02.000736,UCNONkXHTkVwZQZFvFndTBtA,rJboGx6pZXA
6SFNW5F8K9Y,4,videopage,sean.carter.99.test,create,2,2022-03-16 16:01:02.000738,UClh2CI968a1tE8pQ31pg_Ww,rJboGx6pZXA
KenjW8m-9jc,5,videopage,sean.carter.99.test,create,2,2022-03-16 16:01:02.000739,UCINb0wqPz-A0dV9nARjJlOQ,rJboGx6pZXA
