video_id,channel_id,rank,component,watch_video_id,bot_name,phase,homepage_level,videopage_level,topic,strategy,note,on_list,manual_label_1-4,exp_stage,on_topic
IFYYsYVxZto,UCeUMNYWwulM_IZwQGGaY2VA,5,homepage,,alt-right_delete_3,stain,39,40,alt-right,delete,3,False,False,2,False
yfiWjnStE3w,UCy6kyFxaMqGtpE3pQTflK8A,6,homepage,,alt-right_delete_3,stain,39,40,alt-right,delete,3,False,False,2,False
UuZCLAYqSEE,UCL_f53ZEJxp8TtlOkHwMV9Q,7,homepage,,alt-right_delete_3,stain,39,40,alt-right,delete,3,False,False,2,False
ZMStHOsmf-A,UCzfmH125g6CpiNGvgEasY1w,8,homepage,,alt-right_delete_3,stain,39,40,alt-right,delete,3,False,False,2,False
sLTvQnjEkRU,UCAaZm4GcWqDg8358LIx3kmw,9,homepage,,alt-right_delete_3,stain,39,40,alt-right,delete,3,False,False,2,False
7Tuhg0tyzT4,UCSNpKEljp_Yqlo-1lUpnJNg,0,homepage,,alt-right_delete_3,scrub,79,42,alt-right,delete,3,False,False,3,False
xWRHTpqQMGM,UCb1ANUIW7arUUDI-Mwz65rw,1,homepage,,alt-right_delete_3,scrub,79,42,alt-right,delete,3,False,False,3,False
2isYuQZMbdU,UCX6OQ3DkcsbYNE6H8uQQuVA,2,homepage,,alt-right_delete_3,scrub,79,42,alt-right,delete,3,False,False,3,False
sLTvQnjEkRU,UCAaZm4GcWqDg8358LIx3kmw,3,homepage,,alt-right_delete_3,scrub,79,42,alt-right,delete,3,False,False,3,False
EdmJmFK4xiY,UCWwUIqjw5BLn4L90fa9fdkw,4,homepage,,alt-right_delete_3,scrub,79,42,alt-right,delete,3,False,False,3,False
PUh6mC6Ge7M,UCk7Pn9IsVZHH1hKCMiTgvlA,5,homepage,,alt-right_delete_3,scrub,79,42,alt-right,delete,3,False,False,3,False
1a8A79Tlyi4,UCJyYPIYM-2iuvc6MKasAEQQ,6,homepage,,alt-right_delete_3,scrub,79,42,alt-right,delete,3,False,False,3,False
AivQBXds-r0,UCSUf5_EPEfl4zlBKZHkZdmw,7,homepage,,alt-right_delete_3,scrub,79,42,alt-right,delete,3,False,False,3,False
