CHANNEL_ID,CHANNEL_TITLE,CHANNEL_VIEWS,COUNTRY,RELEVANCE,SUBS,CHANNEL_LIFETIME_DAILY_VIEWS,CHANNEL_LIFETIME_DAILY_VIEWS_RELEVANT,CHANNEL_VIDEO_VIEWS,RELEVANT_IMPRESSIONS_DAILY,RELEVANT_IMPRESSIONS_IN_DAILY,VIDEO_VIEWS_DAILY,RELEVANT_VIDEO_VIEWS_DAILY,AVG_MINUTES,FROM_DATE,TO_DATE,LR,TAGS,IDEOLOGY,MEDIA,LOGO_URL
UCuHJMn2CfyxMPGPzFww_3bA,John B. Wells - Caravan to Midnight,138266,US,1,136000,7019.281639,7019.281639,17470992,10316.762201762,2683.92138916,4793.661290323,4793.661290323,55.825623,2015-03-20T18:54:18.0000000Z,2022-01-11T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight"",
  ""QAnon""
]",QAnon,YouTube,https://yt3.ggpht.com/ytc/AKedOLRHqQT6hVSk5bvIQdWtZTdI1kmJY8uz6G8QQ4byPQ=s88-c-k-c0x00ffffff-no-rj
UCytUJyBwhhqrnEG-ajOLbuA,Exposing Charlatans,8973978,US,0.9,27500,7896.384886,7896.384886,8986086,30.152489516,3.924790494,367.964019851,331.167617866,10.150000,2014-12-15T00:00:00.0000000Z,2018-01-26T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLQFyOJoxb8I2DhBh6Taq8b2uhaEU3ZUAVM8UJI5=s88-c-k-c0x00ffffff-no-rj
UC__gcXYVQlmVocNLZykibUw,ToryMagoo44,4687402,US,0.95,19300,973.845171,973.845171,4648163,40.535708011,13.263381785,77.062034739,73.208933002,6.869841,2008-02-09T00:00:00.0000000Z,2021-03-05T00:00:00.0000000Z,L,"[
  ""AntiTheist"",
  ""SocialJustice""
]",Social Justice,YouTube,https://yt3.ggpht.com/ytc/AKedOLQ0cEYpq1RvYeb7jLFuI4jSnwtdhmdTMNa-aCVn=s88-c-k-c0x00ffffff-no-rj
UCQaDjAIpg-pd44ats-HXCyA,WCPO 9,261905853,US,0.95,228000,60208.742004,60208.742004,256007571,9822.9342346,33969.133216786,44211.462779156,42000.889640199,1.820669,2010-05-26T00:00:00.0000000Z,2022-01-15T00:00:00.0000000Z,C,"[
  ""Mainstream News""
]",Center/Left MSM,Mainstream Media,https://yt3.ggpht.com/ytc/AKedOLT7gUIBG3h3oFYpkoArRbFgN1x_fk-LQVD8-cnPhQ=s88-c-k-c0x00ffffff-no-rj
UCki8HoT6IKQqgl60tl-ZVZA,The CBP Channel,5084323,,1,34000,5690.546145,5690.546145,5240993,4056.624390392,2130.587894157,6121.517369727,6121.517369727,16.831858,2019-06-26T00:00:00.0000000Z,2022-01-02T00:00:00.0000000Z,C,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AKedOLRFrR2vWrf9Ylgh2teYEFM9SKKXkX2sA_P9DYsQ=s88-c-k-c0x00ffffff-no-rj
UC4E-IyfDc3cJXKQmeDSb9Hg,Thuý Diễm,929030,US,0.9,15000,1003.275378,1003.275378,929033,0.3463981861,0.1619750881,0.9875930521,0.8888337469,13.000000,2016-11-13T00:00:00.0000000Z,2019-05-28T00:00:00.0000000Z,R,"[
  ""AntiSJW"",
  ""PartisanRight""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AKedOLTV5c5f47nN0aKO6nQyFJ1lOoD803Q9KllnTdGK=s88-c-k-c0x00ffffff-no-rj
UCq_fpZiaKtmwKk4qq21JPSA,REFORMYcz,12464930,,0.95,11300,3011.868326,3011.868326,12466123,28.977389945,2.633717944,304.256823821,289.04398263,9.742857,2009-12-24T00:00:00.0000000Z,2021-04-24T00:00:00.0000000Z,R,"[
  ""AntiSJW"",
  ""PartisanRight""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AKedOLT7StfOVECcsNZ-cTw-GdiGxPuu5Hh_U_XpGaD3=s88-c-k-c0x00ffffff-no-rj
UCl49yaTf95CnN_w-Y3yY5fg,The NPC Show,1027468,US,1,149000,54856.731586,54856.731586,43940242,32264.012487519,2543.889405026,54500.630272953,54500.630272953,18.852794,2019-11-06T19:09:00.0000000Z,2022-01-15T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight"",
  ""QAnon""
]",QAnon,YouTube,https://yt3.ggpht.com/NLWaXMJBAQtO_qOPwvHdc7zpVTggx7TL5Oy8JTDVzOpLPo-WCTdlQCOUKiMW4pPcjg_b3zsz=s88-c-k-c0x00ffffff-no-rj
UCwlQXl9jWV06Bb6d_GFaaEQ,The For Britain Movement,3273668,GB,0.95,28400,2129.781270,2129.781270,3320329,3596.652054549,1040.977623032,1557.029776675,1479.178287841,25.833638,2017-10-08T00:00:00.0000000Z,2022-01-14T00:00:00.0000000Z,R,"[
  ""AntiSJW"",
  ""PartisanRight""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AKedOLSXDtuJrAl5YWar6rSXCofMVW28vJ9YkeERwhg=s88-c-k-c0x00ffffff-no-rj
UC6EyGxVgmTGt27_U9c_oz9g,Oppressed Media,18608756,US,1,90900,18297.339233,18297.339233,18608394,4424.910062106,102.491323406,3483.776674938,3483.776674938,8.113924,2016-10-13T00:00:00.0000000Z,2019-07-27T02:28:23.0000000Z,R,"[
  ""AntiSJW"",
  ""PartisanRight"",
  ""WhiteIdentitarian""
]",White Identitarian,YouTube,https://yt3.ggpht.com/ytc/AKedOLSxy16wpe8DOmUi4nQbRSQbQl-JC5ojp6q-SMzIAQ=s88-c-k-c0x00ffffff-no-rj
UCww9VDOBh5hfnsN6pPE6NpA,Girl Defined,18768594,US,0.6,159000,8966.133394,8966.133394,19626866,11249.009734362,7013.951420163,8992.775434243,5395.665260546,10.992788,2016-01-16T00:00:00.0000000Z,2022-01-13T00:00:00.0000000Z,R,"[
  ""ReligiousConservative""
]",Religious Conservative,YouTube,https://yt3.ggpht.com/W0OD3jN1VU7ppHMWtHyBFZFuDawz7utd7fcw0b2dmlaLIXRgjJavEu2x5z6MttQpfLc7aWceMQ=s88-c-k-c0x00ffffff-no-rj
UC4ooWpHkJWKjDN7YverX2iw,MrThriveAndSurvive,13090712,US,0.85,52500,3166.502173,3166.502173,13115652,1346.258258123,218.331501288,858.192307692,729.463461538,37.925577,2010-09-12T00:00:00.0000000Z,2022-01-14T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLSSOY5lF3x6ax6mXPbYay-5A4G7qwyZ2ahnqdUlew=s88-c-k-c0x00ffffff-no-rj
UCGXc2mrKxzV0FX44bdJKCUA,EasyHacks,1776965,,0.9,14800,1203.688259,1203.688259,1783866,17.489787543,17.791821681,303.146401985,272.831761787,22.137168,2017-06-06T00:00:00.0000000Z,2021-06-27T16:21:55.7568198Z,R,"[
  ""Conspiracy"",
  ""PartisanRight"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLTMkcA38NQXcyQnHBp7J5W4nNIz_pSjnvZx-kEmBg=s88-c-k-c0x00ffffff-no-rj
UC75HVYVE-wYHGQlc4w3-GGw,Dara Hoffman-Fox,1156231,US,1,17500,456.939154,456.939154,1156513,114.804110583,147.885097465,222.627791563,222.627791563,7.412214,2014-04-10T00:00:00.0000000Z,2021-03-15T00:00:00.0000000Z,L,"[
  ""LGBT"",
  ""SocialJustice""
]",LGBT,YouTube,https://yt3.ggpht.com/ytc/AKedOLTV3VGqzjI5riPf90JAZLM7Efm5fqAKeahGutwHvg=s88-c-k-c0x00ffffff-no-rj
UCXIN3HIH0eon5hVYYpnoNuQ,azureScapegoat,5054556,SE,1,83000,2706.495486,2706.495486,5396752,3761.524647435,1945.120601655,2901.90942928,2901.90942928,70.695313,2016-06-11T00:00:00.0000000Z,2021-11-26T00:00:00.0000000Z,L,"[
  ""Socialist""
]",Socialist,YouTube,https://yt3.ggpht.com/ytc/AKedOLR0Oo7EL33O79UtCUDiXhiJRfj9nSSKeM3-O4KL=s88-c-k-c0x00ffffff-no-rj
UCQ6ew0XVRYymuOCYqasTTCg,WebFlixsGuy,7157982,,0.85,12900,8412.403055,8412.403055,7158955,0.7212199063,0.1699358703,53.437965261,45.422270471,7.178218,2010-12-30T00:00:00.0000000Z,2013-04-29T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLTzZnDeLVVj5Db8-yLp6WPVBlWtK0FtIcrvzF4m=s88-c-k-c0x00ffffff-no-rj
UCbp94Mntcb2IV9n4BtHXpUg,MoralCourageChannel,3474813,,0.85,20600,1118.100627,1118.100627,3566741,45.925861134,5.138109401,89.550868486,76.118238213,2.578431,2013-04-16T00:00:00.0000000Z,2022-01-09T00:00:00.0000000Z,L,"[
  ""PartisanLeft"",
  ""SocialJustice""
]",Social Justice,YouTube,https://yt3.ggpht.com/vImU_-kP6LE1OLSxEarn8r9ujjCIllblyavIMmoUQywyruSAlrotkg-0U5k4eJLSxvznIFcm0Q=s88-c-k-c0x00ffffff-no-rj
