channel_id,alt-right,antitheist,politics-left,politics-right
https://www.youtube.com/channel/UC3rht1s6oKV8PnW1ds47_KQ,,,,False
https://www.youtube.com/channel/UC3uAjWoLZ4bSi6qI9SjALxA,,,,False
https://www.youtube.com/channel/UC3ubu-Wdc4Ka2dY3KuOZ43w,,False,,
https://www.youtube.com/channel/UC3vBFQu7jVUl1KRN20nu8vA,,,False,
https://www.youtube.com/channel/UC3vC6b_w6HkozUe_s4g0apQ,,,,False
https://www.youtube.com/channel/UC3vpUC3JJuDaumWNS8EPQrA,False,,,
https://www.youtube.com/channel/UC3vpdyeYFQPLWY7fABkXaaA,,,False,
https://www.youtube.com/channel/UC3w193M5tYPJqF0Hi-7U-2g,False,,,False
https://www.youtube.com/channel/UC4DP3XibPTjVjri3m2J0sog,,,False,
https://www.youtube.com/channel/UC4G10tk3AHFuyMIuD3rHOBA,,,False,
https://www.youtube.com/channel/UC4GfN7q1C1m0z6cf2NkMg2w,,,False,
https://www.youtube.com/channel/UC4HLs-yQ2iRsnGf8_ymL53g,,,,False
https://www.youtube.com/channel/UC4IFgmVjowpy8D7nXmFZL2A,,False,,
https://www.youtube.com/channel/UC4JKpMFBjWG_3xE9BTQpvpw,False,False,,
https://www.youtube.com/channel/UC4NpbPE75Cb1xkbDLWq8WuA,,True,,
https://www.youtube.com/channel/UC4PooiX37Pld1T8J5SYT-SQ,,,False,
https://www.youtube.com/channel/UC4SUWizzKc1tptprBkWjX2Q,,,True,
https://www.youtube.com/channel/UC4TjXPVIYz9Z13SB3vxKuZQ,,,False,
https://www.youtube.com/channel/UC4USoIAL9qcsx5nCZV_QRnA,False,,,
https://www.youtube.com/channel/UC4Vtokc-SD2ACFKqSOBc8ww,,,,False
https://www.youtube.com/channel/UC4YUKOBld2PoOLzk0YZ80lw,False,,,
https://www.youtube.com/channel/UC4a0kbdAhi-Rw4MrGxZdwgg,,,False,
https://www.youtube.com/channel/UC4a9LfdavRlVMaSSWFdIciA,,False,False,
https://www.youtube.com/channel/UC4aV8MV1xsaCMMCvoTnMVFw,,False,,
https://www.youtube.com/channel/UC4dxun8grR8anho6aZdrulA,,False,,
https://www.youtube.com/channel/UC4mEUulkjGVSdgKSj5ydxEg,,,,False
https://www.youtube.com/channel/UC4mLlRa_dezwvytudo9s1sw,False,False,,
https://www.youtube.com/channel/UC4mnZmx_t0T-OM70n6ZSeTw,False,,,
https://www.youtube.com/channel/UC4np1bCNVl3iPHiKOeyxe6A,,,False,
https://www.youtube.com/channel/UC4oVjJptcsvtgIMrdIUQYlQ,False,False,,
https://www.youtube.com/channel/UC4rlAVgAK0SGk-yTfe48Qpw,,,,False
https://www.youtube.com/channel/UC4rqhyiTs7XyuODcECvuiiQ,,False,,
https://www.youtube.com/channel/UC4sxB7lQ17CKRpFQpntloRg,False,,,
https://www.youtube.com/channel/UC4tWW-toq9KKo-HL3S8D23A,,False,,
https://www.youtube.com/channel/UC4yHhzzwt6yHNx0qv_2A-oA,,,False,
https://www.youtube.com/channel/UC4zcMHyrT_xyWlgy5WGpFFQ,False,,,
https://www.youtube.com/channel/UC4zxyn7iDrjxL-kUmpNFlxQ,False,,,
